Asset Class,Issuer Name,CUSIP,Ticker,Ask Price,Cpn,Maturity,Conversion Ratio,CV Conversion Price,CV Stock Volatility
Corporates,Lantheus Holdings Inc,516544AB9,LNTH,112.246,2.625,15/12/2027,12.5291,79.81419256,48.92821859
Corporates,Merit Medical Systems Inc,589889AA2,MMSI,111.881,3,01/02/2029,11.5171,86.82741315,26.72104717
Corporates,Nikola Corp,654110AG0,NKLA,129.722,8.25,15/12/2026,1111.1111,0.900000009,139.588676
Corporates,Alteryx Inc,02156BAF0,AYX,97.557,1,01/08/2026,5.2809,189.3616618,21.18955543
Corporates,Marriott Vacations Worldwide Corp,57164YAF4,VAC,89.25,3.25,15/12/2027,5.2729,189.6489598,31.49452624
Corporates,Wolfspeed Inc,977852AD4,WOLF,68.75,1.875,01/12/2029,8.4118,118.8806201,64.32381003
Corporates,DISH Network Corp,25470MAF6,DISH,62.515,0,15/12/2025,24.4123,40.9629572,107.2327371
Corporates,Lucid Group Inc,549498AA1,LCID,52.75,1.25,15/12/2026,18.2548,54.78011263,118.3722313
Corporates,Sphere Entertainment Co,55826TAA0,SPHR,115.892,3.5,01/12/2028,28.1591,35.51249862,60.60220832
Corporates,JetBlue Airways Corp,477143AP6,JBLU,71.5,0.5,01/04/2026,38.5802,25.92003152,82.43629628
Corporates,Axon Enterprise Inc,05464CAB7,AXON,127.157,0.5,15/12/2027,4.372,228.7282708,37.88992261
Corporates,Repligen Corp,759916AC3,RGEN,114.938,1,15/12/2028,4.9247,203.0580543,42.73247414
Corporates,DISH Network Corp,25470MAB5,DISH,54,3.375,15/08/2026,15.3429,65.17672669,112.6152331
Corporates,DISH Network Corp,25470MAD1,DISH,98.855,2.375,15/03/2024,12.163,82.21655841,115.2249655
Corporates,Evolent Health Inc,30050BAG6,EVH,117.98,3.5,01/12/2029,26.3125,38.00475059,35.24631821
Corporates,Affirm Holdings Inc,00827BAB2,AFRM,82.725,0,15/11/2026,4.6371,215.6520239,93.1384534
