Asset Class,Issuer Name,Ticker,Cpn,Maturity,Currency,Amt Out,Conversion Ratio,TRACE Price,Yld to Mty (Mid),YAS Bnch Px,CV Conversion Price
Corporates,Industrial Bank Co Ltd,INDUBK,0.4,27/12/2027,CNY,7847618587,4.293688,#N/A Field Not Applicable,2.988022306,100.0358,23.29000151
Corporates,Shanghai Pudong Development Bank Co Ltd,SHANPU,3.2,28/10/2025,CNY,7074051072,7.55287,#N/A Field Not Applicable,2.955859412,99.9233,13.24000016
Corporates,China CITIC Bank Corp Ltd,CINDBK,3.2,04/03/2025,CNY,5933090590,16.393443,#N/A Field Not Applicable,2.006656989,100.09345,6.09999986
Corporates,Daqin Railway Co Ltd,DAQINR,1.8,14/12/2026,CNY,4384275244,16.07717,#N/A Field Not Applicable,-1.002403579,100.1409,6.220000162
Preferreds,Wells Fargo & Co,WFC,7.5,#N/A Field Not Applicable,USD,3967986000,6.3814,#N/A Field Not Applicable,6.35750362,112.0546875,156.7054251
Corporates,Mitsubishi UFJ Investor Services & Banking Luxembourg SA,MUFJIN,8.456,15/12/2050,EUR,3800192850,324.35939,#N/A Field Not Applicable,17.98353912,#N/A N/A,308.3000002
Corporates,Bank of Shanghai Co Ltd,BOSHAI,1.5,25/01/2027,CNY,3086192377,10.17294,#N/A Field Not Applicable,2.96426772,100.1409,9.82999998
Preferreds,Bank of America Corp,BAC,7.25,#N/A Field Not Applicable,USD,3080182000,20,#N/A Field Not Applicable,6.005193457,112.0546875,50
Corporates,China Three Gorges Corp,YANTZE,0.5,09/04/2024,CNY,2979820000,6.622517,#N/A Field Not Applicable,-103.753985,98.8908,15.09999899
Corporates,DISH Network Corp,DISH,3.375,15/08/2026,USD,2909000000,15.3429,53.5,30.20310065,100.9335938,65.17672669
Preferreds,Motors Liquidation Co,MTLQQ,5.25,06/03/2032,USD,2600000000,0.3852,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,64.90134995
Corporates,Bank of Nanjing Co Ltd,NANJBK,0.7,15/06/2027,CNY,2593875994,10.976948,#N/A Field Not Applicable,1.666854587,100.0358,9.110000339
Corporates,America Movil BV,AMXLMM,0,02/03/2024,EUR,2533113090,32066.6987,#N/A Field Not Applicable,-3.384223919,99.2455,3.118500003
Preferreds,Federal National Mortgage Association,FNMA,5.375,#N/A Field Not Applicable,USD,2492200000,1060.3329,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A,94.31000396
Corporates,Ford Motor Co,F,0,15/03/2026,USD,2300000000,65.5824,99.25260162,0.338543658,100.9335938,15.24799336
Corporates,Bank of Hangzhou Co Ltd,BKOFHZ,0.8,29/03/2027,CNY,2282923943,8.169935,#N/A Field Not Applicable,1.634457416,100.1409,12.23999946
Corporates,PG&E Corp,PCG,4.25,01/12/2027,USD,2150000000,43.1416,103.5156021,3.288011888,102.2304688,23.17948338
