Asset Class,Issuer Name,Ticker,Cpn,Maturity,Conversion Ratio,CV Conversion Price,CV Stock Volatility
Preferreds,Boston Private Financial Holdings Inc,BPFH,20,#N/A Field Not Applicable,18115.94203,5.52,40
Preferreds,Teltronics Inc,TELT,20,#N/A Field Not Applicable,36.36364,2.749999725,40
Preferreds,Atlantic Gulf Communities Corp,AFLF,20,#N/A Field Not Applicable,1.739,5.750431282,#N/A N/A
Corporates,Edgio Inc,EGIO,19.5,14/11/2027,684.9315,1.460000015,199.0650808
Preferreds,ReposiTrak Inc,TRAK,18,#N/A Field Not Applicable,2.5,4,40
Preferreds,eVision International Inc,EVIS,15,#N/A Field Not Applicable,10,1,#N/A N/A
Preferreds,KII Liquidating Inc,KATY,15,#N/A Field Not Applicable,16.66667,5.9999988,#N/A N/A
Preferreds,La Jolla Pharmaceutical Co,LJPC,15,#N/A Field Not Applicable,666.6699829,1.499992538,40
Preferreds,CWT Travel Holdings Inc,CWTTRA,15,#N/A Field Not Applicable,5,20,#N/A N/A
Corporates,X1 PCC Ltd,XONEPC,15,18/04/2024,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Corporates,Cphi-Holding A/S,CPHIHL,15,01/05/2025,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Corporates,Cphi-Holding A/S,CPHIHL,15,01/05/2025,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Corporates,Lotte Tour Development Co Ltd,LOTTOU,15,20/09/2025,85487.36462,13850,60.18609987
Corporates,United Homes Group Inc,UHG,15,30/03/2028,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Corporates,UpHealth Inc,UPHL,14.31,15/12/2025,57.14286,17.49999913,106.5171843
Preferreds,Ealixir Inc,EAXR,14,#N/A Field Not Applicable,4,2.5,40
Preferreds,Ealixir Inc,EAXR,14,#N/A Field Not Applicable,0.036363598,275.0002904,40
Preferreds,Triumph Apparel Corp,TRUA,14,#N/A Field Not Applicable,16129,0.31000062,40
Preferreds,GeoPharma Inc,GORX,14,#N/A Field Not Applicable,166.66667,5.99999988,40
Preferreds,Ambassador Financial Group Inc/IN,AFGI,13.5,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Preferreds,Mizlou Communications Inc,MZLU,13,#N/A Field Not Applicable,6,1.666666667,40
Corporates,Medicine Man Technologies Inc,SHWZ,13,07/12/2026,0.446429,2.23999785,74.78616391
Corporates,Electromagnetic Geoservices ASA,EMGSNO,12.12728,09/05/2025,0.42677,234.318251,#N/A N/A
Preferreds,Conquest Industries Corp,CNQS,12,#N/A Field Not Applicable,0.8,11.5625,#N/A N/A
Preferreds,Growth Development Corp,GDCX,12,#N/A Field Not Applicable,0.6667,14.99925004,#N/A N/A
Preferreds,Juniper Group Inc,JUNP,12,#N/A Field Not Applicable,0.04,50,#N/A N/A
Preferreds,Imperial Ginseng Products Ltd,ICPCN,12,#N/A Field Not Applicable,0.666,1.501501502,40
Preferreds,Spring Pharmaceutical Group Inc,CYIG,12,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Preferreds,Community Central Bank Corp,CCBD,12,#N/A Field Not Applicable,100,10,40
Preferreds,Galectin Therapeutics Inc,GALT,12,#N/A Field Not Applicable,1,1,161.7250127
Preferreds,Timios National Corp,HOMS,12,#N/A Field Not Applicable,100,0.001,#N/A N/A
Preferreds,Timios National Corp,HOMS,12,#N/A Field Not Applicable,33334,0.0299994,#N/A N/A
Preferreds,Grubb & Ellis Co,GRBE,12,#N/A Field Not Applicable,60.606,1.65000165,40
Preferreds,Grubb & Ellis Co,GRBE,12,#N/A Field Not Applicable,60.606,1.65000165,40
Preferreds,American Commerce Solutions Inc,AACS,12,#N/A Field Not Applicable,1000,1,40
Preferreds,Timios National Corp,HOMS,12,#N/A Field Not Applicable,200,0.03,40
Preferreds,Grubb & Ellis Co,GRBE,12,#N/A Field Not Applicable,31.322,3.192644148,40
Preferreds,Grubb & Ellis Co,GRBE,12,#N/A Field Not Applicable,60.60606,1.650000017,40
Preferreds,Decmil Group Ltd,DCGAU,12,#N/A Field Not Applicable,1,0.2,#N/A N/A
Preferreds,Musicsource USA Inc,MUSS,12,#N/A Field Not Applicable,0.05,20,#N/A N/A
Preferreds,Patriot Energy Corp/Houston TX,PGYC,12,#N/A Field Not Applicable,0.3469,4.324012684,40
Preferreds,Lecstar Corp,LCST,12,#N/A Field Not Applicable,2.7,3.703703704,#N/A N/A
Corporates,Aspen Group Inc/CO,ASPU,12,14/03/2027,1000,1,178.1365799
Corporates,Valeo Pharma Inc,VPHCN,12,31/12/2024,869.565217,1.150000001,72.96877699
Corporates,Senai-Desaru Expressway Bhd,SENAI,12,16/12/2038,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Corporates,Senai-Desaru Expressway Bhd,SENAI,12,16/12/2038,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Corporates,Senai-Desaru Expressway Bhd,SENAI,12,16/12/2038,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Corporates,Senai-Desaru Expressway Bhd,SENAI,12,16/12/2038,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Corporates,Senai-Desaru Expressway Bhd,SENAI,12,16/12/2038,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Corporates,Trees Corp,CANN,12,16/09/2026,1000,1,137.1203154
Corporates,Senai-Desaru Expressway Bhd,SENAI,12,16/12/2038,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Corporates,Senai-Desaru Expressway Bhd,SENAI,12,16/12/2038,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A
Corporates,Cortus Energy AB,CTEHSS,12,12/04/2024,100,0.01,75.19990387
Corporates,SSH Communications Security Oyj,SSHVFH,11.5,#N/A Field Not Applicable,210.08403,4.760000082,#N/A N/A
